EDCS-ID,EDH-ID,type_of_inscription_auto,not_before,not_after,clean_text_interpretive_word,occups,occups_N,occups_cats_list
EDCS-18000341,,epitaph,1.0,100.0,Publius Ateius Publi libertus Regillus fecit sibi et Publio Ateio Publi liberto Salvio patrono pomario is ter Herculi decumam fecit vixit annos CII et Primae libertae suae carissimae et Ateiae Iollae patroni filiae,['pomarius'],1,['Food-Retail']
EDCS-18000342,,epitaph,31.0,100.0,Marcus Avidius Marci libertus Aesopus sibi et Avidiae Marci libertae Zosimae coniugi faber intestinarius hoc monumentum sive sepulcrum est hheredes non sequetur,['faber intestinarius'],1,['Building']
EDCS-18000344,,epitaph,1.0,100.0,Publius Cervius Publi libertus Diogenes vestiarius sibi et suis fecit Caesiae mulieris libertae Bulene Cerviae Publi libertae Irenae libertae meae cum mortua erit arca quae est in monumento ibi volo condatur Lucio Aedio Luci filio Samoni,['vestiarius'],1,['Retail']
EDCS-18000345,,epitaph,31.0,200.0,Publius Cervius Publi libertus Diogenes vestiarius Caesia mulieris Bulene Cervia Publi liberta Irena sibi et suis Agriae Marci libertae Hilarae Marco Agrio Marci liberto Philemoni Marco Agrio Marci liberto Hilaro,['vestiarius'],1,['Retail']
EDCS-18000347,,epitaph,1.0,50.0,Lucius Cocceius Cai Luci Marci libertus Papa Lucio Valerio Luci liberto Nicephoro medico amico,['medicus'],1,['Miscellaneous Services']
EDCS-18000350,,epitaph,31.0,100.0,Caius Epillius Cai libertus Alexander materiarius Staia mulieris liberta Salvia Caius Epillius Cai libertus Felix,['materiarius'],1,['Building']
EDCS-18000353,,epitaph,-30.0,-1.0,Marcus Fulvius Apollonius unguentarius sibi et Valeriae Rodiae uxori Fulviae Laini Lucio Caesio Glconi Caesiae Luci libertae Nardini,['unguentarius'],1,['Miscellaneous Services']
EDCS-18000355,,epitaph,-30.0,100.0,In fronte pedes VIII Marcus Hordionius Philargurus vivus Labeo lanternarius vivae Flaviai Cai libertae Philuminai uxori et suis in agro pedes VIII,['lanternarius'],1,['Household Goods']
EDCS-18000356,,epitaph,1.0,50.0,Caius Magius Cai libertus Alexander scut scutarius,['scutarius'],1,['Miscellaneous Services']
EDCS-18000358,,epitaph,-30.0,100.0,Cai Minati Cai liberti Philodami purpurarii Minatia Cai liberta Fausta fecit sibi et patrono ossa sunt hic sita ossa hic sita sunt,['purpurarius'],1,['Clothing']
EDCS-18000361,,epitaph,-50.0,-1.0,Publi Ocrati Publi DDecimorum liberti Philodami Bassi aurifici ossa hic sita sunt,['aurificus'],1,['Metal-Working']
EDCS-18000363,,,1.0,50.0,Publilia Sexti liberta Fistia Sexto Publilio Sexti liberto Truphoni patrono suo Lucio Titio Optato aurifici,['aurificus'],1,['Metal-Working']
EDCS-18000364,,epitaph,1.0,50.0,Caius Satrius Cai libertus Hilarus unguentarius sibi posteris que hoc monumentum heredem non sequetur Cai Satri Cai liberti Euhodi ossa hic sita sunt,['unguentarius'],1,['Miscellaneous Services']
EDCS-18000367,,epitaph,-30.0,100.0,Marco Stat o Marci liberto Philodamo unguentario Philoxenes et Hilario liberti Hilarae conlibertae,['unguentarius'],1,['Miscellaneous Services']
EDCS-18000371,,,-50.0,-1.0,Quintus Tullius Paapus gladiarius Clodia Diamer filia Teophilos Terenti,['gladiarius'],1,['Metal-Working']
EDCS-18000372,,epitaph,1.0,50.0,Cnaeus Veserius Cnaei libertus Antiochus Arabus cultrarius Cnaeus Veserius Cnaei libertus Antiochus Arabus cultrarius arbitrio Antiochi Alexsandri,['cultrarius' 'cultrarius'],2,"['Metal-Working', 'Metal-Working']"
EDCS-19301060,,,-30.0,30.0,Lucius Annius CCaiorum libertus Servius porcinarius CT eiae Camu,['porcinarius'],1,['Food-Production']
EDCS-34700253,,,-30.0,30.0,eio Cnaei liberto vasculario,['vascularius'],1,['Metal-Working']
EDCS-31300247,,epitaph,101.0,200.0,Dis Manibus sacrum Publio Cornelio Publi filio Proculo scribae duumvirali Capuae testamento fieri iussit arbitratu Corneliae Publi filiae Proculae,['scriba'],1,['Education']
EDCS-50500209,,honorific inscription,151.0,200.0,Innocenti curatori rei publicae Imperatori Caesari Marco Aurelio Antonino pontifici maximo consuli patri patriae et propagatori imperii,['curator'],1,['Managerial']
EDCS-50500210,,epitaph,101.0,200.0,Lucius Varius Luci filius Falerna Concordius aedilis patronus collegii centonariorum et Valeria Luci filia Vitalis coniux sibi suis que fecerunt signo Scarnius homo bone bene vale,['centonarius'],1,['Clothing']
EDCS-50500211,,epitaph,1.0,50.0,Numerius Audius lanarius et Numerius Audius,['lanarius'],1,['Clothing']
EDCS-50500212,,,-50.0,-1.0,Peristera Iunia fecit de suo Lucio Iulio Stratoni medico,['medicus'],1,['Miscellaneous Services']
