Term,gen_sg,Vocab_nom_sg,Source,HISCO_majorgroup,HISCO_minorgroup,Harris_Category,Subcategory,Translation_eng
armariarius,i,,Petrikovits 1981a,8,81,Household Goods,,cabinet maker
armilarius,i,,Petrikovits 1981a,8,88,Metal-Working,,"bracelet maker, armilla - bracelet"
armillarius,i,,Petrikovits 1981b,8,88,Metal-Working,,bracelet maker
aromatarius,i,aromatarius,Waltzing - Rome,4,43,Retail,,"seller of perfumes, spices"
artefex,icis,,Petrikovits 1981a,1,16,Plastic Arts,,"One that is master in the liberal arts,an artist, artificer"
artifex,icis,,Petrikovits 1981a,1,16,Plastic Arts,,"One that is master in the liberal arts,an artist, artificer"
asinarius,i,asinarius,Waltzing - provinces,9,97,Transport,Land transport,"a keeper of asses, an ass-driver"
assator,oris,,Petrikovits 1981a,5,53,Food-Production,,cooker
athleta,ae,athleta,Waltzing - provinces,1,17,Performing Arts,,"a wrestler, athlete, combatant in public games"
aulopoios,i,,Petrikovits 1981a,1,16,Plastic Arts,,"maker of aulos, Greek musical instrument"
aupiciarius,i,,Petrikovits 1981a,9,98,Transport,,"uncertain, related to boat"
aurarius,i,aurarius,Waltzing - provinces,7,71,Metal-Working,,gold-mine worker
aurator,oris,,Petrikovits 1981a,8,88,Metal-Working,,gilder
auricaesor,oris,,Petrikovits 1981a,8,88,Metal-Working,,manufacturer of sheet gold
auricoctor,oris,,Petrikovits 1981a,7,72,Metal-Working,,he that melts or refines gold
aurifaber,ri,,Petrikovits 1981b,8,88,Metal-Working,,goldsmith
aurifex,icis,aurifex,Waltzing - Rome,8,88,Metal-Working,,goldsmith
aurificus,i,,Petrikovits 1981a,8,88,Metal-Working,,"goldworker, goldsmith"
aurifossor,oris,,Petrikovits 1981a,7,71,Metal-Working,,gold digger
aurufex,icis,,Petrikovits 1981a,8,88,Metal-Working,,"goldworker, goldsmith"
automatarius,i,,Petrikovits 1981a,9,99,Miscellaneous Services,,a maker of automata
axearius,i,,Petrikovits 1981a,8,82,Building,,"uncertain, board-cutter"
baiulius,i,baiulius,Waltzing - Rome,9,97,Transport,Land transport,"a porter, carrier"
ballistarius,i,,Petrikovits 1981a,0,2,Miscellaneous Services,Military,"manufacturer of ballistae, an engine for hurling"
ballistrarius,i,,Petrikovits 1981a,0,2,Miscellaneous Services,Military,"manufacturer of ballistae, an engine for hurling"
baltearius,i,,Petrikovits 1981a,8,83,Miscellaneous Services,,a maker or master of sword-belts
barbaricarius,i,,Petrikovist 1981b,7,75,Clothing,,textile worker
barbaricas,atis,,Petrikovits 1981a,7,75,Clothing,,textile worker
bastagarius,i,bastagarius,Waltzing - provinces,8,80,Clothing,,a baggage-master
baxiarius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,sandal-maker
baxearius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,sandal-maker
biroigallus,i,,Petrikovits 1981a,,,Unclear meaning,,uncertain
blattiarius,i,,Petrikovits 1981a,7,75,Clothing,Colour production,manufacturer of purpur
boarius,i,boarius,Waltzing - Rome,6,62,Food-Production,,cattle breader
botularius,i,,Petrikovits 1981a,5,53,Food-Production,,manufacturer of sausages
bracarius,i,,Petrikovits 1981a,7,79,Clothing,,manufacturer of trousers
braccarius,i,,Petrikovits 1981a,7,79,Clothing,,manufacturer of trousers
bractearius,i,,Petrikovits 1981a,8,88,Metal-Working,,"goldsheet maker, worker"
bracteator,oris,,Petrikovits 1981a,8,88,Metal-Working,,"goldsheet maker, worker"
brattearius,i,,Petrikovits 1981a,8,88,Metal-Working,,"goldsheet maker, worker"
brattiarius,i,,Petrikovits 1981a,8,88,Metal-Working,,"goldsheet maker, worker"
bucaeda,ae,,Petrikovits 1981a,5,53,Food-Production,,beef butcher
buccularius,i,,Petrikovits 1981a,8,83,Metal-Working,,maker of helmet flaps
bucida,ae,,Petrikovits 1981a,5,53,Food-Production,,beef butcher
budinarius,i,,Petrikovits 1981a,8,81,Household Goods,,reed weaver
burrarius,i,,Petrikovits 1981a,9,99,Unclear meaning,,"uncertain, unspecified worker"
bustuarius,i,,Petrikovits 1981a,5,59,Death-care sector,,cremator
cabator,oris,,Petrikovits 1981a,8,83,Miscellaneous Services,,"engraver, maker of hollow spaces"
cabidarius,i,,Petrikovits 1981a,8,83,Household Goods,,"uncertain, cup maker"
caelator,oris,,Petrikovits 1981a,1,16,Plastic Arts,,"relief maker, carver"
caementarius,i,,Petrikovits 1981a,9,95,Building,Stone worker,mason
caesor,oris,,Petrikovits 1981a,9,95,Building,Stone worker,stone mason
calcarensis,ensis,,Petrikovits 1981a,7,74,Building,Stone worker,a limeburner
calcariensis,ensis,calcariensis,Waltzing - Rome,7,74,Building,Stone worker,a limeburner
calcarius,i,,Petrikovits 1981a,7,71,Building,Stone worker,limestone quarry worker
calcearius,i,,Petrikovits 1981a,7,71,Building,Stone worker,limestone quarry worker
calceator,oris,,Petrikovits 1981a,8,80,Clothing,Shoe maker,a shoemaker
calceolarius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,a shoemaker
calciamentarius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,a shoemaker
calciator,oris,,Petrikovits 1981a,8,80,Clothing,Shoe maker,a shoemaker
calcis coctor,oris,coctor,Waltzing - Rome,7,74,Building,Stone worker,limeburner
calegarius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,a shoemaker
caligarius,i,caligarius,Waltzing - Rome,8,80,Clothing,Shoe maker,a shoemaker
camararius,i,,Petrikovits 1981a,9,95,Building,,vault building worker
camarius,i,,Petrikovits 1981a,9,95,Building,,vault building worker
canalicularius,i,,Petrikovits 1981a,9,95,Water-Management,,"canal constructor, specialized worker"
candelabrarius,i,,Petrikovits 1981a,8,83,Metal-Working,,"manufacturer of candelabra, lamp-stand"
candidarius,i,,Petrikovits 1981a,5,53,Food-Production,,a baker
candidator,oris,,Petrikovits 1981a,7,79,Clothing,,"uncertain, textile washer"
canephorus,i,canephorus,Waltzing,9,97,Transport,Land transport,that bears a basket
capidarius,i,,Petrikovits 1981a,8,83,Household Goods,,"uncertain, cup maker"
capistrarius,i,,Petrikovits 1981a,8,80,Household Goods,,a halter-maker
caplator,oris,caplator,Waltzing - provinces,9,97,Transport,,oil transporter
capsarius,i,,Petrikovits 1981a,0,6,Miscellaneous Services,,"healing asssitant, producer of capsae (a repository, box, bookcase)"
capulator,oris,capulator,Waltzing - Rome,5,53,Miscellaneous Services,,decanter
carbonarius,i,,Petrikovits 1981a,7,71,Fuel / Raw material,,"coal handler, worker, miner"
carbonarus,i,,Petrikovits 1981a,7,71,Fuel / Raw material,,"coal handler, worker, miner"
cartharius,i,,Petrikovits 1981a,9,91,Miscellaneous Services,,papyrus maker
carinarius,i,,Petrikovits 1981a,7,75,Clothing,Colour production,"he who colors wax-color, a dyer of yellow"
caritor,oris,,Petrikovits 1981a,7,75,Clothing,,wool worker
carminator,oris,,Petrikovits 1981a,7,75,Clothing,,"a carder, practitioner of carding, a method of preparing wool for use as a textile"
carnarius,i,,Petrikovits 1981a,5,53,Food-Production,,"butcher, meat worker, of or belonging to flesh"
carpentarius,i,,Petrikovits 1981b,9,95,Transport,Land transport,a wheelwright
carrarius,i,,Petrikovits 1981a,9,95,Transport,Land transport,"a wheelwright, cart maker"
carrocarpentarius,i,,Petrikovits 1981a,9,95,Transport,Land transport,a wheelwright
cassidarius,i,,Petrikovits 1981a,8,83,Metal-Working,,a helmet smith
catabolensis,ensis,catabolensis,Waltzing - Rome,9,97,Transport,Land transport,"a class of carriers who transport burdens by means of draught animals, a kind of muleteers"
caudicarius,i,caudicarius,Waltzing - Rome,9,98,Transport,Maritime/water transport,those who sail on such ships (esp. those who brought the corn from Ostia to Rome)
caupo,onis,,Petrikovits 1981a,4,43,Retail,,"a petty tradesman, huckster, innkeeper"
cauponarius,i,cauponarius,Waltzing - Rome,5,51,Food-Retail,,tavern keeper
cavator,oris,,Petrikovits 1981a,8,82,Miscellaneous Services,,"engraver, maker of hollow spaces"
cavidarius,i,,Petrikovits 1981a,8,83,Household Goods,,"uncertain, cup maker"
cellararius,i,,Petrikovits 1981a,5,55,Household Goods,,"one who keeps provisions, a steward, butler"
cellariarius,i,,Petrikovits 1981b,5,55,Household Goods,,"one who keeps provisions, a steward, butler"
cellaricarius,i,,Petrikovits 1981a,5,55,Household Goods,,"one who keeps provisions, a steward, butler"
cellarius,i,,Petrikovits 1981a,5,55,Household Goods,,"one who keeps provisions, a steward, butler"
cellio,onis,,Petrikovits 1981a,5,55,Household Goods,,"one who keeps provisions, a steward, butler"
cementarius,i,,Petrikovits 1981a,9,95,Building,Stone worker,mason
centonarius,i,centonarius,Waltzing - Rome,7,79,Clothing,,"a maker of patchwork, a dealer in rags"
cerarius,i,,Petrikovits 1981a,7,77,Household Goods,,manufacturer of wax products
cerdo,onis,,Petrikovits 1981a,9,94,Miscellaneous Services,,a handicraftsman
cerearius,i,,Petrikovits 1981a,5,53,Unclear meaning,,"uncertain worker, maybe baker"
ceriolarius,i,,Petrikovits 1981a,7,77,Household Goods,,wax candles manufacturer
ceromatita,ae,,Petrikovits 1981a,5,57,Miscellaneous Services,,"masseur, trainer"
cervesarius,i,,Petrikovits 1981a,5,53,Food-Production,,"beermaker, brewer"
cesor,oris,,Petrikovits 1981a,9,95,Building,Stone worker,stone mason
characteraria,ae,,Petrikovits 1981a,9,99,Unclear meaning,,"uncertain, marker maker or letter maker"
chartarius,i,,Petrikovits 1981a,9,91,Miscellaneous Services,,papyrus maker
chorographarius,i,,Petrikovits 1981a,0,2,Miscellaneous Services,,"map maker, geograph"
chorographus,i,,Petrikovits 1981a,0,2,Miscellaneous Services,,"cartograph, map maker"
ciliciarius,i,,Petrikovits 1981a,7,76,Household Goods,,maker of hair carpets
circitor,oris,circitor,Waltzing - provinces,2,22,Managerial,,"A watchman, overseer, supervisor"
circumitor,oris,,Petrikovits 1981a,2,22,Managerial,,"A watchman, overseer, supervisor"
cisianus,i,,Petrikovits 1981a,9,95,Transport,,"uncertain, the maker / driver of a cabriolet"
cisiarius,i,cisiarius,Waltzing - Rome,9,95,Transport,Land transport,The maker / driver of a cabriolet
citrarius,i,citrarius,Waltzing - Rome,8,81,Household Goods,,maker of furniture out of citrus trees
citratius,i,,Petrikovits 1981a,4,43,Retail,,producer and seller of citrus wood products
claharus,i,,Petrikovits 1981a,8,83,Metal-Working,,nail maker
clastrarius,i,,Petrikovits 1981a,8,83,Household Goods,,lock maker and seller
claustrarius,i,,Petrikovits 1981a,8,83,Household Goods,,lock maker and seller
clavarius,i,,Petrikovits 1981a,8,83,Metal-Working,,nail maker
clavicarius,i,,Petrikovits 1981a,8,83,Metal-Working,,locksmith
claviclarius,i,,Petrikovits 1981a,8,83,Metal-Working,,"A bar, bolt of the door maker, or guardian of a prison"
clavicularius,i,,Petrikovits 1981a,8,83,Metal-Working,,"A bar, bolt of the door maker, or guardian of a prison"
clepsydrarius,i,,Petrikovits 1981a,9,94,Miscellaneous Services,,a maker of water-clocks
clibanarius,i,clibanarius,Waltzing - provinces,5,53,Food-Production,,"a soldier clad in mail, a cuirassier, baker"
cloacarius,i,,Petrikovits 1981a,9,95,Water-Management,,canal worker
clostrarius,i,,Petrikovits 1981a,8,83,Household Goods,,lock maker and seller
clusor,oris,,Petrikovits 1981a,9,99,Unclear meaning,,"uncertain, one who encloses or encompasses"
coactarius,i,,Petrikovits 1981a,7,75,Clothing,,felt maker
coactiliarius,i,,Petrikovits 1981a,7,75,Clothing,,felt maker
coactor,oris,,Petrikovits 1981a,7,75,Clothing,,felt producer or seller
coator,oris,,Petrikovits 1981a,7,75,Clothing,,felt producer or seller
coctarius,i,,Petrikovits 1981a,5,53,Food-Production,,a cook
coctiliarius,i,,Petrikovits 1981a,9,95,Building,,burnt brick-maker
coctor,oris,coctor,Waltzing - Rome,5,53,Food-Production,,"a cook, master distiller"
coctuarius,i,,Petrikovits 1981a,5,53,Food-Production,,a cook
cocus,i,,Petrikovits 1981a,5,53,Food-Production,,a cook 
codicarius,i,codicarius,Waltzing - Rome,9,98,Transport,Maritime/water transport,those who sail on such ships (esp. those who brought the corn from Ostia to Rome)
collectiarius,i,collectiarius,Waltzing - Rome,3,33,Finance,,money-changer
colorator,oris,,Petrikovits 1981a,7,75,Clothing,Colour production,"dyer, colormaker, painter"
columnarius,i,,Petrikovits 1981a,9,95,Building,,column manufacturer
conchylegulus,i,,Petrikovits 1981a,7,75,Clothing,Colour production,a collector of purpur shell-fish
conchyliarius,i,,Petrikovits 1981a,7,75,Clothing,Colour production,a collector of purpur shell-fish
conchyliolegulus,i,conchyliolegulus,Waltzing - provinces,7,75,Clothing,Colour production,a collector of purpur shell-fish
condeatis,is,,Waltzing - provinces,0,4,Transport,Maritime/water transport,small boat owner
conditarius,i,,Petrikovits 1981a,5,53,Food-Production,,"fine cook, foor preparer"
conditor,oris,,Petrikovits 1981a,5,53,Food-Production,,"cook, a seasoner, pickler"
confector,oris,,Petrikovits 1981a,7,76,Miscellaneous Services,,"an accomplisher, finisher, a tanner"
confectorarius,i,confectorarius,Waltzing - Rome,5,53,Food-Production,,a butcher
confectuarius,i,,Petrikovits 1981a,5,53,Food-Production,,a butcher
conflator,oris,,Petrikovits 1981a,8,83,Metal-Working,,a metal-caster
conquiliarius,i,,Petrikovits 1981a,7,75,Clothing,Colour production,a collector of purpur shell-fish
consutor,oris,,Petrikovits 1981a,8,82,Building,,"joiner, fixer, trimmer"
copiata,ae,copiata,Waltzing - Rome,5,59,Death-care sector,,"a grave-digger, sexton"
copo,onis,,Petrikovits 1981a,5,51,Miscellaneous Services,,innkeeper
coquus,i,coquus,Waltzing - Rome,5,53,Food-Production,,cook
corarianus,i,,Petrikovits 1981a,7,76,Clothing,,tanner of leather and hides
corarius,i,corarius,Waltzing - Rome,7,76,Clothing,,tanner of leather and hides
coriarius,i,coriarius,Waltzing - provinces,7,76,Clothing,,"a tanner, currier"
cornicen,nis,cornicen,Waltzing - Rome,1,17,Performing Arts,,"a hornblower, trumpeter, cornet-player"
cornuarius,i,,Petrikovits 1981a,9,94,Miscellaneous Services,,horn maker
coronarius,i,coronarius,Waltzing - Rome,8,88,Miscellaneous Services,,maker of wreaths/crowns
cotiarius,i,,Petrikovits 1981a,8,82,Household Goods,,"grinding stone producer, seller"
crepidarius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,"a sandal-maker, shoemaker"
cretaria,ae,,Petrikovits 1981a,4,43,Retail,,"a shop for Cretan earth, pottery"
cribrarius,i,,Petrikovits 1981a,9,94,Miscellaneous Services,,"screen, sieve maker"
crocotarius,i,,Petrikovits 1981a,7,75,Clothing,Colour production,"painter of yellow colour, dyer"
crustarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,relief maker
crustularius,i,,Petrikovits 1981a,5,53,Food-Production,,"one who makes pastry, a confectioner"
cucullarius,i,,Petrikovits 1981a,7,79,Clothing,,cap / mantel maker
culcitarius,i,,Petrikovits 1981a,7,79,Household Goods,,a cushion-maker
culinarius,i,culinarius,Waltzing - provinces,5,53,Food-Production,,"pertaining to the kitchen, culinary, kitchen worker"
cullearius,i,,Petrikovits 1981a,8,80,Household Goods,,"maker of a leather bag, sack for liquids"
cultellarius,i,,Petrikovits 1981a,8,83,Metal-Working,,maker of a small knife
cultrarius,i,,Petrikovits 1981a,8,83,Metal-Working,,"knife maker, cutler"
cunarius,i,,Petrikovits 1981a,5,54,Miscellaneous Services,,"nanny, babysitter"
cunaria,ae,,Petrikovits 1981a,5,54,Miscellaneous Services,,"nanny, babysitter"
cunicularius,i,,Petrikovits 1981a,0,2,Building,,tunnel builder
cuniculator,oris,,Petrikovits 1981a,0,2,Building,,tunnel builder
cuparius,i,cuparius,Waltzing - provinces,8,83,Metal-Working,,a cooper
cuppedinarius,i,,Petrikovits 1981a,5,53,Food-Production,,"a maker of dainties, confectioner"
curator,oris,curator,Waltzing,2,21,Managerial,,"he who takes charge, a manager, overseer, superintendent, keeper, commissioner, delegate"
curator navium,oris,curator,Waltzing - Rome,2,21,Managerial,,ship manager
custodiarius,i,custodiarius,Waltzing - Rome,5,58,Miscellaneous Services,,a jailer
dactilidiogliphus,i,,Petrikovits 1981a,1,16,Plastic Arts,,a gem cutter
dealbator,oris,,Petrikovits 1981a,9,93,Building,,"who whitens over, a whitewasher, a pargeter, plasterer"
deaurator,oris,,Petrikovits 1981a,8,88,Metal-Working,,a gilder
decanus,i,decanus,Waltzing - Rome,2,22,Managerial,,"A chief of ten, one set over ten persons"
decempedator,oris,,Petrikovits 1981a,0,2,Miscellaneous Services,,"a land-measurer, land-surveyor"
dendrophorus,i,dendrophorus,Waltzing - Rome,9,95,Building,Wood worker,a carpenter
diabathrarius,i,,Petrikovits 1981a,8,80,Clothing,Shoe maker,light-shoe maker
diatretarius,i,,Petrikovits 1981a,1,16,Plastic Arts,,"one who does perforated or filigree work, a turner, carver"
diffusitrix,icis,,Petrikovits 1981a,4,41,Food-Retail,,female maker and trader of oil
diffusor,oris,diffusor,Waltzing - provinces,4,43,Food-Retail,,trader of oil
diffusor oleari,oris,diffusor,Waltzing - Rome,4,43,Food-Retail,,oil trader
dissignator,oris,dissignator,Waltzing - provinces,2,21,Managerial,,"an undertaker, manager"
dogarius,i,,Petrikovits 1981a,8,89,Household Goods,,special vessel maker
dolabrarius,i,dolabrarius,Waltzing - provinces,8,83,Metal-Working,,a pickaxe-maker
dolator,oris,,Petrikovits 1981a,9,95,Building,,worker with an axe
dolearius,i,,Petrikovits 1981a,8,89,Household Goods,,producer and seller of large vessels
doliarius,i,,Petrikovits 1981b,8,89,Household Goods,,maker of barrels made of wood or clay
dominus navium,i,dominus,Waltzing - Rome,0,4,Transport,Maritime/water transport,shipmaster
domnicomontanus,i,,Petrikovits 1981a,,,Unclear meaning,,uncertain
dulciarius,i,,Petrikovits 1981a,5,53,Food-Production,,"Confectioner, baker"
eborarius,i,eborarius,Waltzing - Rome,8,88,Miscellaneous Services,,a worker in ivory
eburarius,i,,Petrikovits 1981a,8,88,Miscellaneous Services,,a worker in ivory
embaenitarius,i,,Petrikovits 1981a,,,Unclear meaning,,uncertain
emplastrator,oris,,Petrikovits 1981a,9,95,Building,,"a plasterer, uncertain"
emporus,i,emporus,Waltzing - provinces,4,45,Retail,,a trader
ephippiarius,i,,Petrikovits 1981a,8,80,Transport,Land transport,saddler
epippiarius,i,,Petrikovits 1981a,8,80,Transport,Land transport,saddler
erarius,i,,Petrikovits 1981a,8,83,Metal-Working,,coppersmith
essedarius,i,,Petrikovits 1981a,5,58,Miscellaneous Services,Military,a fighter in a war-chariot
exactor auri argenti et aeris,oris,exactor,Petrikovits 1981a,3,31,Finance,,"overseer of gold and silver money production,a collector of taxes, a tax gatherer"
exceptor,oris,exceptor,Waltzing - Rome,3,32,Education,,"an amanuensis, short-hand writer, scribe"
exclussor,oris,,Petrikovits 1981a,8,83,Metal-Working,,blacksmith
excusor,oris,,Petrikovits 1981a,8,83,Metal-Working,,blacksmith
exemptor,oris,,Petrikovits 1981a,8,82,Building,Stone worker,"who pulls out stones, stone breaker"
exonerator,oris,exonerator,Waltzing - Rome,9,97,Transport,Land transport,an unloader of calc (calcarii)
extructor,oris,,Petrikovits 1981a,0,2,Building,,builder
faber,ri,faber,Waltzing - Rome,9,99,Metal-Working,,"a worker in wood, stone, metal, etc., a forger, smith, artificer, carpenter, joiner"
faber aerarii,ri,faber,Waltzing - Rome,8,83,Metal-Working,,bronze worker
faber ferrarii,ri,faber,Waltzing - Rome,8,83,Metal-Working,,blacksmith
faber navales,ri,faber,Waltzing - Rome,9,95,Transport,Maritime/water transport,boat constructors
faber soliarii,ri,faber,Waltzing - Rome,8,80,Clothing,Shoe maker,shoe maker
faber tignarii,ri,faber,Waltzing - Rome,0,2,Building,,builder
faber tignuarii,ri,faber,Waltzing - Rome,0,2,Building,,builder
fabricator,oris,,Petrikovits 1981a,9,94,Miscellaneous Services,,"manufacturer, an artificer, framer, forger, contriver, fabricator"
fabricensis,ensis,fabricensis,Waltzing - provinces,8,83,Metal-Working,,an armorer
fabriciensis,ensis,,Petrikovits 1981a,8,83,Metal-Working,,an armorer
fabriciesis,esis,,Petrikovits 1981a,8,83,Metal-Working,,an armorer
factor,oris,,Petrikovits 1981a,6,61,Food-Production,,an oil-presser
faenarius,i,faenarius,Waltzing - Rome,3,39,Finance,,one who lends money on interest
falancarius,i,falancarius,Waltzing - Rome,9,97,Transport,Land transport,one who carries burdens with the aid of a long pole
falcarius,i,,Petrikovits 1981a,8,83,Metal-Working,,a sickle- or scythe-maker
farmacopola,ae,farmacopola,Waltzing - provinces,0,6,Miscellaneous Services,,druggist
ferramentarius,i,,Petrikovits 1981a,8,83,Metal-Working,,"a maker of iron implements, tools"
ferrariarius,i,,Petrikovits 1981a,7,71,Metal-Working,,one who works in iron-mines
ferrarius,i,,Petrikovits 1981a,8,83,Metal-Working,,iron smith
ferrius,i,,Petrikovits 1981a,8,83,Metal-Working,,worker with iron
fictiliarius,i,,Petrikovits 1981a,8,89,Household Goods,,potter
fictor,oris,,Petrikovits 1981a,1,16,Plastic Arts,,"a moulder, sculptor, image-maker, statuary"
fidicinus,i,fidicinus,Waltzing - Rome,1,17,Performing Arts,,lute player
figelus,i,,Petrikovits 1981a,8,89,Household Goods,,a potter
figlinator,oris,,Petrikovits 1981a,8,89,Household Goods,,a potter
figlus,i,,Petrikovits 1981a,8,89,Household Goods,,a potter
figularius,i,,Petrikovits 1981a,8,89,Household Goods,,a potter
figulator,oris,,Petrikovits 1981a,8,89,Household Goods,,a potter
figulus,i,figulus,Waltzing - Rome,8,89,Household Goods,,a potter
figurator,oris,,Petrikovits 1981a,1,16,Plastic Arts,,"one who forms or fashions, sculptor"
finctor,oris,,Petrikovits 1981a,1,16,Plastic Arts,,"a moulder, sculptor, image-maker, statuary"
flammarius,i,,Petrikovits 1981a,7,75,Clothing,Colour production,"read colour dyer, producer"
flammearius,i,,Petrikovits 1981a,7,75,Clothing,Colour production,"read colour dyer, producer"
flator,oris,,Petrikovits 1981a,8,83,Metal-Working,,"a blower of a windinstrument, caster"
flaturarius,i,,Petrikovits 1981a,8,83,Metal-Working,,a caster
florentinarius,i,,Petrikovits 1981a,,,Unclear meaning,,uncertain
focarius,i,focarius,Waltzing - provinces,5,53,Food-Production,,"a kitchen-boy; a kitchen-maid, cook"
fontanus,i,fontanus,Waltzing - provinces,9,95,Water-Management,,"of a spring, from a fountain, spring, worker?"
forensis,is,forensis,Waltzing - provinces,2,22,Managerial,,"of or belonging to the market or forum, public, trader, a public pleader, advocate"
fornacator,oris,,Petrikovits 1981a,9,95,Water-Management,,"the heater of a bath-furnace, a bath-heater"
fosor,oris,,Petrikovits 1981a,9,97,Building,,"a digger, delver, ditcher"
fossor,oris,,Petrikovits 1981a,9,97,Building,,"a digger, delver, ditcher"
fabriciensius,i,,Petrikovits 1981b,8,83,Metal-Working,,an armorer
frenarius,i,,Petrikovits 1981a,8,80,Miscellaneous Services,,"bridle maker, handler"
frixor,oris,,Petrikovits 1981a,5,53,Food-Production,,"roaster, fryer, freezer, uncertain"
fructuarius,i,fructuarius,Waltzing - Rome,5,53,Food-Production,,that serves for laying up the fruits in
frygio,onis,,Petrikovits 1981a,8,88,Metal-Working,,goldsticker
fullo,onis,fullo,Waltzing - Rome,7,75,Clothing,,a cloth-fuller
